event,time
licks,20.6
licks,23.6
licks,94.6
licks,96.2
licks,96.6
licks,97.4
licks,97.6
licks,97.8
licks,97.8
licks,98.0
licks,98.2
licks,98.2
licks,98.4
licks,98.6
licks,98.8
licks,99.0
licks,99.2
licks,99.4
licks,101.4
licks,103.2
licks,105.2
licks,105.8
licks,106.2
licks,106.4
licks,106.8
licks,107.0
licks,107.2
licks,107.6
licks,107.6
licks,107.8
licks,107.8
licks,108.0
licks,108.2
licks,108.4
licks,108.4
licks,108.8
licks,109.0
licks,109.8
licks,110.0
licks,110.6
licks,115.6
licks,121.0
licks,126.8
licks,137.8
licks,150.8
licks,151.8
licks,152.6
licks,153.2
licks,153.6
licks,153.6
licks,153.8
licks,153.8
licks,154.0
licks,154.2
licks,154.2
licks,154.4
licks,155.2
licks,156.6
licks,157.0
licks,162.4
licks,162.6
licks,173.6
licks,221.0
licks,223.8
licks,223.8
licks,224.0
licks,224.0
licks,224.2
licks,224.2
licks,224.4
licks,224.4
licks,224.6
licks,224.8
licks,226.6
licks,232.0
licks,232.2
licks,253.6
licks,253.8
licks,255.6
licks,255.8
licks,255.8
licks,256.0
licks,256.2
licks,256.2
licks,256.8
licks,257.0
licks,258.8
licks,259.0
licks,259.0
licks,259.4
licks,262.0
licks,264.8
licks,264.8
licks,266.0
licks,266.0
licks,266.2
licks,266.4
licks,266.6
licks,266.8
licks,269.0
licks,269.2
licks,269.2
licks,269.4
licks,269.6
licks,271.8
licks,272.0
licks,274.4
licks,276.8
licks,276.8
licks,277.2
licks,279.6
licks,283.0
licks,283.0
licks,285.4
licks,285.4
licks,285.6
licks,285.8
licks,285.8
licks,286.0
licks,286.2
licks,286.2
licks,286.4
licks,286.4
licks,286.6
licks,286.8
licks,287.0
licks,287.0
licks,288.8
licks,290.0
licks,290.2
licks,293.6
licks,294.2
licks,294.4
licks,294.8
licks,295.6
licks,296.2
licks,298.2
licks,298.4
licks,298.6
licks,298.8
licks,299.0
licks,299.2
licks,299.6
licks,299.8
licks,299.8
licks,300.2
licks,300.4
licks,300.8
licks,301.2
licks,301.2
licks,301.4
licks,301.6
licks,301.8
licks,301.8
licks,302.0
licks,302.2
licks,302.2
licks,302.4
licks,302.8
licks,303.4
licks,304.2
licks,305.0
licks,308.6
licks,310.8
licks,311.0
licks,311.2
licks,311.4
licks,311.8
licks,312.0
licks,312.6
licks,313.4
licks,314.0
licks,314.6
licks,315.6
licks,317.2
licks,318.8
licks,319.0
licks,320.2
licks,320.2
licks,320.6
licks,321.0
licks,321.0
licks,321.2
licks,321.4
licks,321.4
licks,321.6
licks,321.8
licks,322.0
licks,323.4
licks,324.2
licks,324.4
licks,327.0
licks,327.2
licks,328.0
licks,329.4
licks,329.4
licks,329.6
licks,329.8
licks,330.0
licks,330.0
licks,330.2
licks,330.2
licks,330.4
licks,330.6
licks,330.8
licks,331.0
licks,331.2
licks,331.6
licks,331.8
licks,331.8
licks,332.0
licks,332.2
licks,332.2
licks,332.4
licks,332.6
licks,332.8
licks,332.8
licks,333.2
licks,333.4
licks,333.6
licks,334.0
licks,335.2
licks,336.0
licks,336.8
licks,338.6
licks,341.4
